"NOIND","PERIODE","SISA_CUTI"
"0000002","2016","5"
"0000007","2016","6"
"0000008","2016","0"
"0000013","2016","2"
"0000014","2016","3"
"0000016","2016","1"
"0000017","2016","4"
"0000018","2016","9"
"0000020","2016","6"
"0000022","2016","3"
"0000023","2016","3"
"0000025","2016","0"
"0000030","2016","1"
"0000031","2016","1"
"0000032","2016","0"
"0000033","2016","4"
"0000034","2016","2"
"0000035","2016","4"
"0000037","2016","1"
"0000038","2016","1"
"0000039","2016","0"
"0000040","2016","1"
"0000041","2016","0"
"0000042","2016","6"
"0000044","2016","1"
"0000046","2016","1"
"0000047","2016","1"
"0000048","2016","2"
"0000049","2016","2"
"0000050","2016","3"
"0000051","2016","3"
"0000052","2016","0"
"0000053","2016","8"
"0000055","2016","2"
"0000056","2016","6"
"0000057","2016","5"
"0000060","2016","0"
"0000061","2016","0"
"0000062","2016","1"
"0000063","2016","5"
"0000064","2016","1"
"0000066","2016","5"
"0000068","2016","0"
"0000070","2016","4"
"0000071","2016","9"
"0000072","2016","1"
"0000073","2016","1"
"0000074","2016","5"
"0000075","2016","4"
"0000076","2016","3"
"0000077","2016","0"
"0000078","2016","3"
"0000079","2016","0"
"0000080","2016","4"
"0000081","2016","0"
"0000082","2016","2"
"0000083","2016","6"
"0000084","2016","1"
"0000086","2016","4"
"0000087","2016","2"
"0000089","2016","2"
"0000090","2016","2"
"0000091","2016","3"
"0000092","2016","3"
"0000093","2016","0"
"0000094","2016","10"
"0000095","2016","7"
"0000096","2016","0"
"0000097","2016","2"
"0000098","2016","2"
"0000099","2016","1"
"0000100","2016","4"
"0000101","2016","0"
"0000102","2016","2"
"0000103","2016","1"
"0000104","2016","4"
"0000105","2016","8"
"0000106","2016","5"
"0000107","2016","1"
"0000108","2016","3"
"0000109","2016","6"
"0000110","2016","1"
"0000111","2016","0"
"0000112","2016","5"
"0000113","2016","6"
"0000114","2016","0"
"0000115","2016","0"
"0000116","2016","0"
"0000117","2016","8"
"0000118","2016","1"
"0000119","2016","1"
"0000120","2016","0"
"0000121","2016","2"
"0000122","2016","2"
"0000123","2016","8"
"0000124","2016","5"
"0000125","2016","0"
"0000126","2016","1"
"0000127","2016","2"
"0000128","2016","0"
"0000129","2016","8"
"0000130","2016","7"
"0000131","2016","4"
"0000132","2016","7"
"0000133","2016","1"
"0000134","2016","6"
"0000135","2016","5"
"0000136","2016","0"
"0000137","2016","3"
"0000138","2016","4"
"0000139","2016","0"
"0000140","2016","0"
"0000141","2016","3"
"0000142","2016","6"
