"kd_jabatan","jabatan"
"'-","-"
"'01DU","DIREKTUR UTAMA"
"'02NP","KEPALA DEPARTEMEN NON PEMASARAN"
"'02PM","KEPALA DEPARTEMEN PEMASARAN"
"'03NP","WAKIL KEPALA DEPARTEMEN NON PEMASARAN"
"'03PM","WAKIL KEPALA DEPARTEMEN PEMASARAN"
"'04NP","ASIST. KEPALA DEPARTEMEN NON PEMASARAN"
"'04PM","KEPALA PENJUALAN WIL. / KOORD. BID. PEMASARAN"
"'05NP","KOORDINATOR BID. NON PEMASARAN"
"'05PM","KEPALA BID. PEMASARAN"
"'06NP","KEPALA BID. NON PEMASARAN"
"'06PM","ASIST. KEPALA BID. PEMASARAN / KEPALA CABANG UTAMA"
"'07NP","ASIST. KEPALA BID. NON PEMASARAN"
"'07PM","KEPALA CABANG MADYA / KEPALA UNIT PEMASARAN 1/2"
"'08NP","KEPALA UNIT NON PEMASARAN"
"'08PM","KA. CAB./DEPO PRATAMA / ASIST. KA. UNIT PEMASARAN"
"'09NP","ASIST. KEPALA UNIT NON PEMASARAN"
"'09PM","KEPALA SEKSI UTAMA PEMASARAN 1/2"
"'10NP","KEPALA SEKSI UTAMA NON PEMASARAN"
"'10PM","KEPALA SEKSI MADYA PEMASARAN 1/2"
"'11NP","KEPALA SEKSI MADYA / DESAINER 2 NON PEMASARAN"
"'11PM","STAF MANAJEMEN TRAINEE B PEMASARAN"
"'12NP","STAF MANJ. TRAINEE B NON PEMASARAN / SEKSI SELEKSI"
"'12PM","KEPALA SEKSI PRATAMA PEMASARAN 1/2"
"'13NP","KEPALA SEKSI PRATAMA NON PEMASARAN"
"'13PM","SUPERVISOR TOKO"
"'14NP","SUPERVISOR NON PEMASARAN"
"'14PM","WIRANIAGA"
"'15NP","TEKNISI 2"
"'15PM","STAF SATGAS DEMO"
"'16NP","SOPIR NON PAKET / PENGEMUDI / DRIVER PEMASARAN"
"'16PM","OPERATOR NON STAF SATGAS DEMO"
"'17NP","STAF ADMINISTRASI NON PEMASARAN"
"'17PM","STAF ADMINISTRASI PEMASARAN / PRAMUNIAGA"
"'18NP","TEKNISI 1"
"'18PM","PEKERJA NON STAF PEMASARAN"
"'19NP","SOPIR PAKET"
"'19PM","PEKERJA OUTSOURCING PEMASARAN"
"'20NP","PEK. NON STAF / PEK. OUTS. / KERNET NON PEMASARAN"
